MYC,BCL2,BCL6
5.802467351,4.459078657,5.251224609
4.762867085,5.772834324,7.803317398
5.011806697,6.189101867,5.205319869
6.248775558,6.737087079,4.831250625
5.190951595,5.224761378,7.020697192
4.652548074,9.538840044,7.007462432
4.680227943,9.770500753,7.079250882
5.381859847,5.813785978,6.226345506
3.78010188,4.979079011,7.334666513
4.551516179,5.643115694,6.836559597
4.482042817,7.972615145,6.5741659
5.923296781,4.535456778,5.494905231
4.068510266,7.625811192,5.849045468
4.615773209,6.004704503,5.694917121
4.552738359,5.270588806,5.332760597
5.159680422,7.86578932,6.232506755
2.665630719,6.221551641,3.76145503
6.952601004,6.341479283,6.830782078
3.933344709,5.421365687,5.346478756
5.946000934,6.485521238,3.770574718
9.55713563,5.638729994,6.558651248
2.954073519,6.203724328,2.81952253
5.712803202,6.841604395,4.51643141
3.81882319,3.858949665,6.26097492
5.407349631,4.108704424,6.974161352
3.199517817,6.124316693,5.128601188
6.139603439,4.394903594,6.832798667
6.081524423,6.169899442,5.456845819
6.637796407,6.128750778,6.510663175
5.116584836,5.921123531,5.050867264
5.400752077,6.772732184,3.501979276
5.457844862,5.995218428,6.10618045
5.011953755,7.762763256,5.617303957
